timestamp,tx,ty,tz,qx,qy,qz,qw
1403637141.488319159,0.000000000,0.000000000,0.000000000,0.056671041,0.793174183,0.000000000,0.606352297
1403637141.538319111,-0.000007824,0.000013854,0.000032813,0.056622447,0.793189399,0.000093037,0.606336926
1403637141.588319063,-0.000005932,0.000010848,0.000071397,0.056589082,0.793193995,0.000175326,0.606334010
1403637141.638319254,-0.000008021,0.000012482,0.000119601,0.056602691,0.793165520,0.000253078,0.606369961
1403637141.688318968,-0.000010016,-0.000023493,0.000155141,0.056613396,0.793172196,0.000237382,0.606360235
1403637141.738319159,-0.000012303,-0.000043083,0.000210348,0.056563334,0.793171542,0.000361645,0.606365701
1403637141.788319111,-0.000016967,-0.000134378,0.000259646,0.056536916,0.793201870,0.000398787,0.606328468
1403637141.838319302,0.000002431,-0.000242978,0.000307646,0.056482618,0.793184904,0.000444209,0.606355691
1403637141.888319016,-0.000020473,-0.000381244,0.000354683,0.056426372,0.793198358,0.000538915,0.606343251
1403637141.938319206,-0.000065497,-0.000612900,0.000401089,0.056450685,0.793208469,0.000486005,0.606327807
1403637141.988319159,-0.000102755,-0.000755709,0.000471197,0.056413795,0.793193231,0.000605846,0.606351066
1403637142.038319111,-0.000118979,-0.000964401,0.000537526,0.056413578,0.793196195,0.000653926,0.606347158
1403637142.088319063,-0.000110437,-0.001218528,0.000564489,0.056345131,0.793217541,0.000746311,0.606325492
1403637142.138319254,-0.000112445,-0.001558500,0.000559151,0.056339254,0.793243393,0.000741646,0.606292221
1403637142.188318968,-0.000278771,-0.001472548,0.000356505,0.056361593,0.793234146,0.000798091,0.606302172
1403637142.238319159,-0.000340300,-0.001915002,0.000369960,0.056372753,0.793218578,0.000802055,0.606321496
1403637142.288319111,-0.000398383,-0.002386221,0.000389384,0.056319903,0.793214176,0.000893939,0.606332038
1403637142.338319302,0.000017085,0.002888908,-0.000266324,0.056900622,0.793263878,-0.000731973,0.606213002
1403637142.388319016,-0.000028696,0.003216494,-0.000309891,0.056862049,0.793254878,-0.000683223,0.606228454
1403637142.438319206,-0.000583375,0.003254851,-0.000136990,0.056844910,0.793323389,-0.000719860,0.606140362
1403637142.488319159,-0.000732821,0.003563948,-0.000175096,0.056846863,0.793331976,-0.000717586,0.606128942
1403637142.538319111,-0.000120478,0.004053912,-0.000276412,0.056541058,0.793254160,-0.000720280,0.606259374
1403637142.588319063,-0.000210836,0.004311854,-0.000329871,0.056509351,0.793251709,-0.000734872,0.606265520
1403637142.638319254,0.000339191,0.004533993,-0.000685046,0.056429976,0.793171437,-0.000792202,0.606377854
1403637142.688318968,0.000367925,0.004826861,-0.000730934,0.056368880,0.793181189,-0.000788270,0.606370786
1403637142.738319159,0.000625003,0.004810311,-0.001032277,0.056347353,0.793100326,-0.000820596,0.606478504
1403637142.788319111,0.000691897,0.005046331,-0.001021962,0.056355593,0.793091866,-0.000881055,0.606488717
1403637142.838319302,0.001300397,0.004996405,-0.001255432,0.056298670,0.793012466,-0.000847316,0.606597866
1403637142.888319016,0.001537013,0.005278762,-0.001229411,0.056269863,0.792985090,-0.000877338,0.606636284
1403637142.938319206,0.005286367,0.009711599,-0.001265939,0.053756956,0.792798280,-0.002945135,0.607101642
1403637142.988319159,0.006008465,0.010042512,-0.001247486,0.053671080,0.792777542,-0.003050122,0.607135801
1403637143.038319111,0.006482031,0.010459512,-0.000926386,0.053726209,0.792770760,-0.003204726,0.607138985
1403637143.088319063,0.007284298,0.010884515,-0.000816056,0.053612092,0.792778578,-0.003327392,0.607138203
1403637143.138319254,0.007757973,0.011377287,-0.000741142,0.053703902,0.792788961,-0.003489803,0.607115620
